Reference, Value, Footprint, Datasheet, Description
"R26","220R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R27","220R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R28","220R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"AFF1","LTD-6940HR","z80_footprints:LTD-6940HR","https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTD-6000_Series.pdf"
"C10","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C11","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U9","74AHC02","Housings_DIP:DIP-14_W7.62mm_LongPads",""
"C20","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U10","Z84C40","Housings_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"U11","SP232E","Housings_DIP:DIP-16_W7.62mm_LongPads",""
"U12","SP232E","Housings_DIP:DIP-16_W7.62mm_LongPads",""
"C12","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C17","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C14","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C16","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C19","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C15","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C18","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C13","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"SER1","DB9-M","z80_footprints:L717SDE09P1ACH",""
"SER2","DB9-M","z80_footprints:L717SDE09P1ACH",""
"C21","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C22","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C23","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U15","Z84C20","Housings_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"U16","74AHC08","Housings_DIP:DIP-14_W7.62mm_LongPads",""
"R30","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R31","10K","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"C25","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U18","74HC164","Housings_DIP:DIP-14_W7.62mm_LongPads",""
"U19","74HC164","Housings_DIP:DIP-14_W7.62mm_LongPads",""
"C28","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C29","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"J1","Conn_02x08_Odd_Even","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm",""
"J2","KMDGX-6S-BS","z80_footprints:KMDGX-6S-BS",""
"U17","Z84C30","z80_footprints:8444-11B1-RK-TP",""
"C27","0.1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"X2","1.8432MHz","Oscillators:Oscillator_DIP-8","http://www.abracon.com/Oscillators/ACH.pdf"
